E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
	2.1849	12	-1	EventGenerator/eBrem/
9.3935	13	e-	EventGenerator	0.06556
9.3935	13	gamma	eBrem	-1e+06
	1.4762	13	-1	EventGenerator/eBrem/
9.6563	14	e-	EventGenerator	0.065942
	1.8609	14	-1	EventGenerator/
6.0931	15	e-	EventGenerator	0.06757
	2.4415	15	-1	EventGenerator/
9.6636	16	e-	EventGenerator	0.065223
9.6636	16	gamma	eBrem	-1e+06
9.6636	16	gamma	eBrem	-1e+06
9.6636	16	e-	eIoni	-1e+06
9.6636	16	e-	phot	-1e+06
9.6636	16	e-	compt	-1e+06
9.6636	16	e-	phot	-1e+06
	9.6636	16	-1	EventGenerator/eBrem/eBrem/eIoni/phot/compt/phot/
9.6697	17	e-	EventGenerator	0.065806
9.6697	17	gamma	eBrem	-1e+06
9.6697	17	e-	eIoni	-1e+06
	2.9946	17	-1	EventGenerator/eBrem/eIoni/
9.693	18	e-	EventGenerator	0.065755
9.693	18	gamma	eBrem	-1e+06
9.693	18	gamma	eBrem	-1e+06
	2.104	18	-1	EventGenerator/eBrem/eBrem/
9.6748	19	e-	EventGenerator	0.065298
0.014925	19	gamma	eBrem	0.065096
0.014925	19	gamma	eBrem	-1e+06
1.702	19	gamma	eBrem	0.070404
1.702	19	e-	phot	-1e+06
	2.3531	19	-1	EventGenerator/eBrem/eBrem/eBrem/phot/
9.3107	20	e-	EventGenerator	0.065553
9.3107	20	gamma	eBrem	-1e+06
9.3107	20	gamma	eBrem	-1e+06
	1.4942	20	-1	EventGenerator/eBrem/eBrem/
9.6591	21	e-	EventGenerator	0.065696
9.6591	21	e-	eIoni	-1e+06
9.6591	21	gamma	eBrem	-1e+06
9.6591	21	gamma	eBrem	-1e+06
	2.053	21	-1	EventGenerator/eIoni/eBrem/eBrem/
9.6993	22	e-	EventGenerator	0.065442
9.6993	22	e-	eIoni	-1e+06
9.6993	22	gamma	eBrem	-1e+06
9.6993	22	gamma	eBrem	-1e+06
9.6993	22	e-	phot	-1e+06
9.6993	22	e-	phot	-1e+06
	3.9935	22	-1	EventGenerator/eIoni/eBrem/eBrem/phot/phot/
9.6613	23	e-	EventGenerator	0.065346
9.6613	23	gamma	eBrem	-1e+06
9.6613	23	gamma	eBrem	-1e+06
9.6613	23	gamma	eBrem	-1e+06
9.6613	23	gamma	eBrem	-1e+06
9.6613	23	e-	phot	-1e+06
	1.3528	23	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/phot/
9.6485	24	e-	EventGenerator	0.065336
	1.332	24	-1	EventGenerator/
9.6417	25	e-	EventGenerator	0.065295
9.6417	25	gamma	eBrem	-1e+06
	1.3353	25	-1	EventGenerator/eBrem/
9.6425	26	e-	EventGenerator	0.065261
	1.4702	26	-1	EventGenerator/
